접두어 (Prefix),메인 테마 (Main Category),세부 테마 (Sub-Themes) 조합 예시
age,Aging & Longevity,"care, service, pharma, health, longevity"
agri,Agriculture & FoodTech,"proteins, inputs, control, process, precision, auto, food"
ai,Artificial Intelligence,"compute, models, networking, edge, cloud, data, security, enterprise, robotics, energy, agi, ads, apps"
auto,Autonomous Systems,"software, hardware, sensors, mapping, fleet"
bigdata,Big Data,"analytics, infra, storage, vis, platform"
bio,Biometrics,"id, security, medical, hardware, software"
cloud,Cloud Computing,"hyperscalers, datacenters, databases, devops, multicloud, serverless, security, paas, edge, hybrid, hardware, hsaas, vsaas"
comagri,Commodities (Agri),"wheat, corn, soy, sugar, livestock"
comenr,Commodities (Energy),"oil, gas, lng, uranium, coal"
commetal,Commodities (Metals),"gold, silver, copper, lithium, steel, rareearth"
cons,Consumer Goods,"luxury, retail, subscription, lifestyle"
crypto,Crypto & Blockchain,"exchange, mining, infra, payments, layer1, defi"
cyber,Cybersecurity,"network, endpoint, identity, cloud, analytics, services, zero"
def,Defense & Aerospace,"systems, aerospace, drones, marine, land"
ent,Digital Entertainment,"streaming, content, social, music"
ecom,E-commerce,"retail, delivery, marketplace, crossborder, logistics"
edu,EdTech,"online, k12, corporate, lms"
ev,Electric Vehicles,"mfg, battery, charging, components, materials"
eren,Energy Renewable,"solar, wind, hydrogen, storage, hydro"
**etrad,Energy Traditional,"exploration, drilling, refining, pipelines"
fin,Fintech,"payments, banking, lending, insurance, wealth"
game,Gaming,"esports, mobile, console, engine, vr"
genom,Genomics,"editing, sequencing, diagnostics, therapeutics"
meta,Metaverse,"hardware, software, ar, platform"
quant,Quantum Computing,"hardware, algorithms, cryptography"
robot,Robotics,"industrial, service, components, ai"
space,Space Tech,"satellite, launch, explore, communications"
